step,time_s,L1,L2,L3,L4,L5,L6,R1,R2,R3,R4,R5,R6
116,0.464000,-0.0334260762,0.906968176,0.737654448,-0.381231815,0.0134905428,0.379281521,-7.73067222e-06,-3.68662927e-06,3.2527746e-06,-7.59824616e-07,7.07727377e-05,2.11557526e-05
117,0.468000,-0.0335196704,0.906753957,0.737807989,-0.381624252,0.0134101249,0.37940073,-7.88671878e-06,-3.73777948e-06,3.10289033e-06,-6.57821147e-07,7.32624248e-05,1.96647343e-05
118,0.472000,-0.0336125866,0.906564236,0.737899303,-0.382021546,0.0133297034,0.379518151,-8.07359356e-06,-3.75305603e-06,2.99934277e-06,-5.7076852e-07,7.56688314e-05,1.82186577e-05
119,0.476000,-0.0337046683,0.906392336,0.73794806,-0.38242209,0.0132490899,0.379634827,-8.24340532e-06,-3.79145536e-06,2.87643888e-06,-4.69148404e-07,7.81032286e-05,1.67608196e-05
120,0.480000,-0.0337958597,0.906232893,0.737966955,-0.382822216,0.0131684681,0.379750609,-8.42293684e-06,-3.84313898e-06,2.75236926e-06,-3.79065739e-07,8.05233722e-05,1.53090787e-05
121,0.484000,-0.036535725,1.05467558,0.840633512,-0.471312463,0.0130929165,0.454792053,-8.5880356e-06,-3.86028933e-06,2.64322489e-06,-2.89820321e-07,8.2923325e-05,1.38679106e-05
122,0.488000,-0.0373942144,1.05224967,0.848092854,-0.470543474,0.0129774241,0.455446929,-8.76570266e-06,-3.90069454e-06,2.52545101e-06,-1.94705223e-07,8.53277161e-05,1.24289381e-05
123,0.492000,-0.0376459882,1.05020642,0.853091776,-0.469954997,0.0128812529,0.455686361,-8.92402477e-06,-3.95027701e-06,2.42063879e-06,-1.02603167e-07,8.76971317e-05,1.1008512e-05
124,0.496000,-0.0377803184,1.04872358,0.856555343,-0.469664395,0.0127861416,0.455869645,-9.11701773e-06,-3.98933753e-06,2.30495789e-06,-1.90435543e-08,9.00984451e-05,9.56463919e-06
125,0.500000,-0.0378859304,1.04763889,0.858948469,-0.469582617,0.0126916356,0.456034303,-9.2766295e-06,-4.01128409e-06,2.19181265e-06,7.94555604e-08,9.24584165e-05,8.15229305e-06
